City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
422,pahlgam,34.0333,75.3333,12.63,92,16,1.6,IN,1722990544
423,arkhangel'sk,64.5401,40.5433,9.06,100,0,3.0,RU,1722990545
424,la palma,33.8464,-118.0467,35.48,59,40,5.14,US,1722990548
425,olinda,-8.0089,-34.8553,24.85,83,20,4.63,BR,1722990549
426,jayapura,-2.5333,140.7,28.66,70,86,1.85,ID,1722990550
427,raduzhny,62.0961,77.475,8.23,74,17,3.66,RU,1722990551
428,ellsworth,44.5434,-68.4195,18.81,89,0,2.57,US,1722990552
429,san antonio de pale,-1.4014,5.6325,22.63,79,65,5.56,GQ,1722990553
430,caaguazu,-25.45,-56.0167,23.79,41,100,2.65,PY,1722990524
431,siteki,-26.45,31.95,11.16,90,0,1.23,SZ,1722990556
432,arochukwu,5.3898,7.914,22.19,98,45,1.39,NG,1722990557
433,cam ranh,11.9214,109.1591,27.98,74,0,1.54,VN,1722990558
434,inirida,3.8653,-67.9239,24.63,92,74,1.71,CO,1722990559
435,ta`u,-14.2336,-169.5144,25.92,75,12,5.26,AS,1722990560
436,massakory,12.996,15.7293,24.9,78,100,3.93,TD,1722990561
437,sima,53.9202,102.0442,14.47,96,100,2.55,RU,1722990562
438,tralee,52.2704,-9.7026,12.82,93,32,3.66,IE,1722990564
439,covington,39.0837,-84.5086,31.87,63,40,4.63,US,1722990545
440,guaymate,18.5879,-68.9787,26.83,83,20,4.12,DO,1722990566
441,geneina,13.45,22.45,22.73,85,98,3.92,SD,1722990567
442,wimereux,50.7696,1.6114,16.94,87,96,5.93,FR,1722990568
443,sokcho,38.2083,128.5911,29.34,74,0,2.06,KR,1722990569
444,santarem,-2.4431,-54.7083,28.07,78,0,2.57,BR,1722990571
445,kone,-21.0595,164.8658,25.04,43,16,2.72,NC,1722990572
446,sweetwater,25.7634,-80.3731,31.12,74,75,5.14,US,1722990393
447,whitby,54.4877,-0.615,15.17,77,1,0.89,GB,1722990092
448,i-n-salah,27.1935,2.4607,34.67,15,1,5.33,DZ,1722990575
449,nadi,-17.8,177.4167,25.0,57,75,5.66,FJ,1722990576
450,caleta de carquin,-11.0925,-77.6267,16.95,84,17,6.26,PE,1722990577
451,acarau,-2.8856,-40.12,25.25,82,6,7.91,BR,1722990578
452,tambacounda,13.7539,-13.7586,24.37,94,99,4.95,SN,1722990580
453,avenal,36.0041,-120.129,40.87,12,0,1.79,US,1722990581
454,tokombere,11.2271,13.4858,23.15,88,99,2.67,NG,1722990582
455,toliara,-23.35,43.6667,19.05,87,0,5.31,MG,1722990583
456,harar,9.3094,42.1258,16.49,78,100,4.73,ET,1722990584
457,elko,41.0002,-115.5012,35.09,12,5,6.71,US,1722990585
458,biryusinsk,55.9634,97.8235,14.7,97,100,2.15,RU,1722990586
459,ra's bayrut,33.9,35.4833,27.81,65,40,1.54,LB,1722990588
460,moab,38.5733,-109.5498,38.03,16,24,3.7,US,1722990589
461,teteven,42.9167,24.2667,16.77,66,0,1.02,BG,1722990590
462,namdrik,5.5994,168.1028,28.41,71,82,2.48,MH,1722990591
463,tommot,58.9564,126.2925,15.28,91,97,1.23,RU,1722990592
464,puerto deseado,-47.7503,-65.8938,4.18,62,100,3.23,AR,1722990380
465,batticaloa,7.7102,81.6924,26.72,83,100,2.04,LK,1722990594
466,maktar,35.858,9.2007,20.0,70,0,1.97,TN,1722990596
